date,tenor_years,source_file,series_kind,tp
2003-01-31,10,inputs/tp_10y_book.png,tp,4.318990384615384
2003-02-28,10,inputs/tp_10y_book.png,tp,4.274725714990138
2003-03-31,10,inputs/tp_10y_book.png,tp,3.9253451676528597
2003-04-30,10,inputs/tp_10y_book.png,tp,3.3986025993237536
2003-05-31,10,inputs/tp_10y_book.png,tp,3.229897506339814
2003-06-30,10,inputs/tp_10y_book.png,tp,3.103170347280924
2003-07-31,10,inputs/tp_10y_book.png,tp,3.2312275464919695
2003-08-31,10,inputs/tp_10y_book.png,tp,3.2296875
2003-09-30,10,inputs/tp_10y_book.png,tp,3.488671985066216
2003-10-31,10,inputs/tp_10y_book.png,tp,3.4862452451394756
2003-11-30,10,inputs/tp_10y_book.png,tp,3.267021960411383
2003-12-31,10,inputs/tp_10y_book.png,tp,3.480831748379826
2004-01-31,10,inputs/tp_10y_book.png,tp,4.201176827979712
2004-02-29,10,inputs/tp_10y_book.png,tp,5.161069139194139
2004-03-31,10,inputs/tp_10y_book.png,tp,5.1974235700197235
2004-04-30,10,inputs/tp_10y_book.png,tp,5.204447115384616
2004-05-31,10,inputs/tp_10y_book.png,tp,4.66790425119752
2004-06-30,10,inputs/tp_10y_book.png,tp,3.8128284375880526
2004-07-31,10,inputs/tp_10y_book.png,tp,3.4572643702451393
2004-08-31,10,inputs/tp_10y_book.png,tp,4.195693329106791
2004-09-30,10,inputs/tp_10y_book.png,tp,4.287139423076923
2004-10-31,10,inputs/tp_10y_book.png,tp,4.213637204142012
2004-11-30,10,inputs/tp_10y_book.png,tp,4.075569702733164
2004-12-31,10,inputs/tp_10y_book.png,tp,3.9381788884192725
2005-01-31,10,inputs/tp_10y_book.png,tp,3.9548393913778526
2005-02-28,10,inputs/tp_10y_book.png,tp,4.040918656663849
2005-03-31,10,inputs/tp_10y_book.png,tp,4.1909798534798535
2005-04-30,10,inputs/tp_10y_book.png,tp,4.398792793744717
2005-05-31,10,inputs/tp_10y_book.png,tp,4.484615384615385
2005-06-30,10,inputs/tp_10y_book.png,tp,4.471875
2005-07-31,10,inputs/tp_10y_book.png,tp,4.395152683854607
2005-08-31,10,inputs/tp_10y_book.png,tp,4.249454952099183
2005-09-30,10,inputs/tp_10y_book.png,tp,4.04843221682164
2005-10-31,10,inputs/tp_10y_book.png,tp,3.4680446956889255
2005-11-30,10,inputs/tp_10y_book.png,tp,2.7889775288813747
2005-12-31,10,inputs/tp_10y_book.png,tp,2.65
2006-01-31,10,inputs/tp_10y_book.png,tp,2.591058220625528
2006-02-28,10,inputs/tp_10y_book.png,tp,2.4009091469428
2006-03-31,10,inputs/tp_10y_book.png,tp,2.2295673076923075
2006-04-30,10,inputs/tp_10y_book.png,tp,2.267788461538461
2006-05-31,10,inputs/tp_10y_book.png,tp,2.2578714954916874
2006-06-30,10,inputs/tp_10y_book.png,tp,2.210550066920259
2006-07-31,10,inputs/tp_10y_book.png,tp,2.1893860946745565
2006-08-31,10,inputs/tp_10y_book.png,tp,2.1824325514229357
2006-09-30,10,inputs/tp_10y_book.png,tp,2.1658653846153846
2006-10-31,10,inputs/tp_10y_book.png,tp,2.1658653846153846
2006-11-30,10,inputs/tp_10y_book.png,tp,2.1849759615384614
2006-12-31,10,inputs/tp_10y_book.png,tp,2.1820825408565794
2007-01-31,10,inputs/tp_10y_book.png,tp,2.0401415891800507
2007-02-28,10,inputs/tp_10y_book.png,tp,1.7405325443786985
2007-03-31,10,inputs/tp_10y_book.png,tp,1.8113513489715412
2007-04-30,10,inputs/tp_10y_book.png,tp,1.808434594251902
2007-05-31,10,inputs/tp_10y_book.png,tp,1.7293555402930403
2007-06-30,10,inputs/tp_10y_book.png,tp,1.6978545893209356
2007-07-31,10,inputs/tp_10y_book.png,tp,1.6412695477599324
2007-08-31,10,inputs/tp_10y_book.png,tp,1.5423332276697663
2007-09-30,10,inputs/tp_10y_book.png,tp,1.6675203402366863
2007-10-31,10,inputs/tp_10y_book.png,tp,1.6944711538461537
2007-11-30,10,inputs/tp_10y_book.png,tp,1.4712577486615945
2007-12-31,10,inputs/tp_10y_book.png,tp,1.2222368977176667
2008-01-31,10,inputs/tp_10y_book.png,tp,1.0903529163144547
2008-02-29,10,inputs/tp_10y_book.png,tp,1.370361369399831
2008-03-31,10,inputs/tp_10y_book.png,tp,1.4343666349675963
2008-04-30,10,inputs/tp_10y_book.png,tp,1.443583579881657
2008-05-31,10,inputs/tp_10y_book.png,tp,1.4842548076923077
2008-06-30,10,inputs/tp_10y_book.png,tp,1.540373168498169
