date,date,CPI_mmSA,coreCPI_mmSA,coreCPI_mmSA_t-1
2002-01-31,2002-01-31,1.66,1.03,
2002-02-28,2002-02-28,0.93,0.93,1.03
2002-03-31,2002-03-31,0.96,0.92,0.93
2002-04-30,2002-04-30,1.16,0.89,0.92
2002-05-31,2002-05-31,1.86,0.87,0.89
2002-06-30,2002-06-30,0.74,0.86,0.87
2002-07-31,2002-07-31,1.02,0.9,0.86
2002-08-31,2002-08-31,1.0,0.8,0.9
2002-09-30,2002-09-30,1.07,0.7,0.8
2002-10-31,2002-10-31,1.25,0.59,0.7
2002-11-30,2002-11-30,1.43,0.68,0.59
2002-12-31,2002-12-31,1.19,0.77,0.68
2003-01-31,2003-01-31,1.25,0.89,0.77
2003-02-28,2003-02-28,1.39,0.94,0.89
2003-03-31,2003-03-31,0.91,0.91,0.94
2003-04-30,2003-04-30,1.01,0.86,0.91
2003-05-31,2003-05-31,0.94,0.87,0.86
2003-06-30,2003-06-30,0.96,0.94,0.87
2003-07-31,2003-07-31,0.96,0.81,0.94
2003-08-31,2003-08-31,0.33,0.9,0.81
2003-09-30,2003-09-30,0.89,1.01,0.9
2003-10-31,2003-10-31,1.09,1.05,1.01
2003-11-30,2003-11-30,0.77,0.8,1.05
2003-12-31,2003-12-31,0.81,0.74,0.8
2004-01-31,2004-01-31,0.67,0.7,0.74
2004-02-29,2004-02-29,0.82,0.75,0.7
2004-03-31,2004-03-31,0.67,0.84,0.75
2004-04-30,2004-04-30,1.03,0.94,0.84
2004-05-31,2004-05-31,0.9,0.87,0.94
2004-06-30,2004-06-30,0.95,0.82,0.87
2004-07-31,2004-07-31,1.14,0.89,0.82
2004-08-31,2004-08-31,1.03,0.83,0.89
2004-09-30,2004-09-30,0.9,0.79,0.83
2004-10-31,2004-10-31,1.25,0.94,0.79
2004-11-30,2004-11-30,1.0,0.9,0.94
2004-12-31,2004-12-31,0.86,0.86,0.9
2005-01-31,2005-01-31,0.95,0.71,0.86
2005-02-28,2005-02-28,1.09,0.66,0.71
